"Time","avgMemoryUtilization"
1703334180000,0.5169490050753243
1703334185000,0.5170972367679046
1703334190000,0.5170972367679046
1703334195000,0.5170972367679046
1703334200000,0.5170972367679046
1703334205000,0.517124305163941
1703334210000,0.517124305163941
1703334215000,0.517124305163941
1703334220000,0.517124305163941
1703334225000,0.5153216788850399
1703334230000,0.5153216788850399
1703334235000,0.5153216788850399
1703334240000,0.5153216788850399
1703334245000,0.5151199548860066
1703334250000,0.5151199548860066
1703334255000,0.5151199548860066
1703334260000,0.5151199548860066
1703334265000,0.5151425118827037
1703334270000,0.5151425118827037
1703334275000,0.5151425118827037
1703334280000,0.5151425118827037
1703334285000,0.515177314106179
1703334290000,0.515177314106179
1703334295000,0.515177314106179
1703334300000,0.515177314106179
1703334305000,0.5151818255055184
1703334310000,0.5151818255055184
1703334315000,0.5151818255055184
1703334320000,0.5151818255055184
1703334325000,0.5165629581889954
1703334330000,0.5165629581889954
1703334335000,0.5165629581889954
1703334340000,0.5165629581889954
1703334345000,0.5165191331668412
1703334350000,0.5165191331668412
1703334355000,0.5165191331668412
1703334360000,0.5165191331668412
1703334365000,0.5166100056392492
1703334370000,0.5166100056392492
1703334375000,0.5166100056392492
1703334380000,0.5166100056392492
1703334385000,0.5166164504954484
1703334390000,0.5166164504954484
1703334395000,0.5166164504954484
1703334400000,0.5166164504954484
1703334405000,0.5166454523483445
1703334410000,0.5166454523483445
1703334415000,0.5166454523483445
1703334420000,0.5166454523483445
1703334425000,0.5166808990574397
1703334430000,0.5166808990574397
1703334435000,0.5166808990574397
1703334440000,0.5166808990574397
1703334445000,0.5164772416015467
1703334450000,0.5164772416015467
1703334455000,0.5164772416015467
1703334460000,0.5164772416015467
1703334465000,0.5165081769113027
1703334470000,0.5165081769113027
1703334475000,0.5165081769113027
1703334480000,0.5165081769113027
1703334485000,0.8031091507162061
1703334490000,0.8031091507162061
1703334495000,0.8031091507162061
1703334500000,0.8031091507162061
1703334505000,0.8050587534358369
1703334510000,0.8050587534358369
1703334515000,0.8050587534358369
1703334520000,0.8050587534358369
1703334525000,1.5398366819704306
1703334530000,1.5398366819704306
1703334535000,1.5398366819704306
1703334540000,1.5398366819704306
1703334545000,1.5733464174673188
1703334550000,1.5733464174673188
1703334555000,1.5733464174673188
1703334560000,1.5733464174673188
1703334565000,1.576149159127435
1703334570000,1.576149159127435
1703334575000,1.576149159127435
1703334580000,1.576149159127435
1703334585000,1.5820710648716036
1703334590000,1.5820710648716036
1703334595000,1.5820710648716036
1703334600000,1.5820710648716036
1703334605000,1.5898344289626651
1703334610000,1.5898344289626651
1703334615000,1.5898344289626651
1703334620000,1.5898344289626651
1703334625000,1.5897393019681274
1703334630000,1.5897393019681274
1703334635000,1.5897393019681274
1703334640000,1.5897393019681274
1703334645000,1.5908467804519033
1703334650000,1.5908467804519033
1703334655000,1.5908467804519033
1703334660000,1.5908467804519033
1703334665000,1.5897342952842044
1703334670000,1.5897342952842044
1703334675000,1.5897342952842044
1703334680000,1.5897342952842044
1703334685000,1.5874151992910535
1703334690000,1.5874151992910535
1703334695000,1.5874151992910535
1703334700000,1.5874151992910535
1703334705000,1.5913314274556534
1703334710000,1.5913314274556534
1703334715000,1.5913314274556534
1703334720000,1.5913314274556534
1703334725000,1.589651184331082
1703334730000,1.589651184331082
1703334735000,1.589651184331082
1703334740000,1.589651184331082
1703334745000,1.5903671401320763
1703334750000,1.5903671401320763
1703334755000,1.5903671401320763
1703334760000,1.5903671401320763
1703334765000,1.6480040854540812
