"Time","memory_utilization"
1702729380000,0.516263916861355
1702729385000,0.516263916861355
1702729390000,0.516263916861355
1702729395000,0.5168523322323371
1702729400000,0.5168523322323371
1702729405000,0.5159764762748731
1702729410000,0.5159764762748731
1702729415000,0.5159764762748731
1702729420000,0.5160080560702489
1702729425000,0.5160080560702489
1702729430000,0.5160106340127286
1702729435000,0.5160106340127286
1702729440000,0.5160106340127286
1702729445000,0.5160106340127286
1702729450000,0.5187368081849674
1702729455000,0.5187368081849674
1702729460000,0.5187561427535649
1702729465000,0.5187561427535649
1702729470000,0.5187561427535649
1702729475000,0.5187561427535649
1702729480000,0.5194760331910094
1702729485000,0.5194760331910094
1702729490000,0.5195295254974623
1702729495000,0.5195295254974623
1702729500000,0.5199355514380085
1702729505000,0.8090821246363896
1702729510000,0.8090821246363896
1702729515000,0.8099272528825983
1702729520000,0.8099272528825983
1702729525000,1.511227488697411
1702729530000,1.5112845648941338
1702729535000,1.5259881942393094
1702729540000,1.5259881942393094
1702729545000,1.5259881942393094
1702729550000,1.5260132276589247
1702729555000,1.5375616447958025
1702729560000,1.5375616447958025
1702729565000,1.5634391913204126
1702729570000,1.5634401926571975
1702729575000,1.5634401926571975
1702729580000,1.5739261914656066
1702729585000,1.573963240926637
1702729590000,1.573963240926637
1702729595000,1.5737589682225772
1702729600000,1.5737269254454698
1702729605000,1.5737549628754388
1702729610000,1.5737549628754388
1702729615000,1.5799231974686205
1702729620000,1.5799231974686205
1702729625000,1.5799231974686205
1702729630000,1.5835330165771304
1702729635000,1.5835330165771304
1702729640000,1.5921164754947856
1702729645000,1.5921164754947856
1702729650000,1.5921164754947856
1702729655000,1.5921174768315702
1702729660000,1.5973764976243285
1702729665000,1.5973764976243285
1702729670000,1.5973764976243285
1702729675000,1.601048399613484
1702729680000,1.601048399613484
1702729685000,1.601048399613484
1702729690000,1.6011285065562526
1702729695000,1.6011285065562526
1702729700000,1.6011285065562526
1702729705000,1.5973134134068983
1702729710000,1.5973134134068983
1702729715000,1.5973134134068983
1702729720000,1.5973134134068983
1702729725000,1.5928494540211182
1702729730000,1.5928494540211182
1702729735000,1.5944185487625981
1702729740000,1.5944185487625981
1702729745000,1.5944185487625981
1702729750000,1.5944185487625981
1702729755000,1.5932139406107153
1702729760000,1.5932139406107153
1702729765000,1.5932139406107153
1702729770000,1.5932139406107153
1702729775000,1.5956982571733265
1702729780000,1.5956982571733265
1702729785000,1.594138174462908
1702729790000,0.7899435746721873
1702729795000,0.7899435746721873
1702729800000,0.7893127324978847
1702729805000,0.7893127324978847
1702729810000,0.7876094586272674
1702729815000,0.7876094586272674
1702729820000,0.7876094586272674
1702729825000,0.7928184125807953
1702729830000,0.7928184125807953
1702729835000,0.7928184125807953
1702729840000,0.7885196737644756
1702729845000,0.7885196737644756
1702729850000,0.7885196737644756
1702729855000,0.7888120641055809
1702729860000,0.7888120641055809
1702729865000,0.7888120641055809
1702729870000,0.7888120641055809
1702729875000,0.787480286182053
1702729880000,0.787480286182053
1702729885000,0.7877997126163429
1702729890000,0.7877997126163429
1702729895000,0.7877746791967276
1702729900000,0.7877746791967276
1702729905000,0.7877746791967276
1702729910000,0.7878057206370505
1702729915000,0.7878057206370505
1702729920000,0.7879839585847106
1702729925000,0.7879839585847106
1702729930000,0.7879839585847106
1702729935000,0.7879749465536491
1702729940000,0.7879749465536491
1702729945000,0.7879749465536491
1702729950000,0.7904462457380603
1702729955000,0.7904462457380603
1702729960000,0.7904462457380603
1702729965000,0.7904462457380603
1702729970000,0.7875894318915753
1702729975000,0.7875894318915753
1702729980000,0.7875894318915753
1702729985000,0.7918861680343259
1702729990000,0.7918861680343259
1702729995000,0.7918861680343259
1702730000000,0.7899415719986181
1702730005000,0.7899415719986181
1702730010000,0.7899415719986181
1702730015000,0.7878437714348655
1702730020000,0.7878437714348655
1702730025000,0.7878437714348655
1702730030000,0.7878497794555732
1702730035000,0.7878497794555732
1702730040000,0.7885957753601057
1702730045000,0.7885957753601057
1702730050000,0.7885957753601057
1702730055000,0.7886268168004286
1702730060000,0.7886268168004286
1702730065000,0.7886268168004286
1702730070000,0.7886268168004286
1702730075000,0.7901558580705241
1702730080000,0.7901558580705241
1702730085000,0.7901558580705241
1702730090000,0.7906455117581972
1702730095000,0.7906455117581972
1702730100000,0.7906775545353046
1702730105000,0.7907967136126729
1702730110000,0.7907967136126729
1702730115000,0.7907646708355655
1702730120000,0.7899315586307721
1702730125000,0.7899315586307721
1702730130000,0.7899315586307721
1702730135000,0.7934152093044214
1702730140000,0.7934152093044214
1702730145000,0.7934472520815289
1702730150000,0.7935674124956817
1702730155000,0.7935674124956817
1702730160000,0.7935353697185743
1702730165000,0.7935353697185743
1702730170000,0.7936675461741425
1702730175000,0.7936675461741425
1702730180000,0.7936675461741425
1702730185000,0.7918391052054493
1702730190000,0.7918391052054493
1702730195000,0.7918391052054493
1702730200000,0.79204137523594
1702730205000,0.79204137523594
1702730210000,0.79204137523594
1702730215000,0.7925290262500438
1702730220000,0.7925290262500438
1702730225000,0.7925290262500438
1702730230000,0.7925230182293361
1702730235000,0.7925230182293361
1702730240000,0.7925230182293361
1702730245000,0.7924959821361518
1702730250000,0.7924959821361518
1702730255000,0.7924959821361518
1702730260000,0.7925590663535821
1702730265000,0.7925590663535821
1702730270000,0.7882112620348165
1702730275000,0.7882112620348165
1702730280000,0.7882112620348165
1702730285000,0.7882112620348165
1702730290000,0.788309393039708
1702730295000,0.788309393039708
1702730300000,0.788309393039708
1702730305000,0.7901448433658934
1702730310000,0.7901448433658934
1702730315000,0.7901448433658934
1702730320000,0.7921154741580009
1702730325000,0.7921154741580009
1702730330000,0.7921154741580009
1702730335000,0.7908758192186569
1702730340000,0.7908758192186569
1702730345000,0.7927322976173191
1702730350000,0.7927322976173191
1702730355000,0.7927322976173191
1702730360000,0.7927322976173191
1702730365000,0.7930757561344395
